,Time,CGM,Meal,Insulin_Basal,Insulin_Bolus
181,2024-01-01 09:06:00,114.5773093193869,0.0,0.05,0.0
182,2024-01-01 09:09:00,121.80067907992638,0.0,0.05,0.0
183,2024-01-01 09:12:00,129.84044006404676,0.0,0.05,0.0
184,2024-01-01 09:15:00,138.4014349087441,0.0,0.05,0.0
185,2024-01-01 09:18:00,147.10221441336748,0.0,0.05,0.0
186,2024-01-01 09:21:00,155.55175137610036,0.0,0.05,0.0
187,2024-01-01 09:24:00,163.38102392085517,0.0,0.05,0.0
188,2024-01-01 09:27:00,170.26686762886692,0.0,0.05,0.0
189,2024-01-01 09:30:00,176.00723217080943,0.0,0.05,0.0
190,2024-01-01 09:33:00,180.5627093191859,0.0,0.05,0.0
191,2024-01-01 09:36:00,183.95107059111118,0.0,0.05,0.0
192,2024-01-01 09:39:00,186.21284555853777,0.0,0.05,0.0
193,2024-01-01 09:42:00,187.40583660501574,0.0,0.05,0.0
194,2024-01-01 09:45:00,187.60031719759382,0.0,0.05,0.0
195,2024-01-01 09:48:00,186.8751137409888,0.0,0.05,0.0
196,2024-01-01 09:51:00,185.31455847643429,0.0,0.05,0.0
197,2024-01-01 09:54:00,183.0062035246548,0.0,0.05,0.0
198,2024-01-01 09:57:00,180.4424048468185,0.0,0.05,0.0
199,2024-01-01 10:00:00,177.85982592220745,0.0,0.05,0.0
200,2024-01-01 10:03:00,174.09669865640603,0.0,0.05,0.0
201,2024-01-01 10:06:00,169.44455005166964,0.0,0.05,0.0
202,2024-01-01 10:09:00,164.1935872129354,0.0,0.05,0.0
203,2024-01-01 10:12:00,158.63246153866606,0.0,0.05,0.0
204,2024-01-01 10:15:00,153.0478354437959,0.0,0.05,0.0
205,2024-01-01 10:18:00,147.72411608323367,0.0,0.05,0.0
206,2024-01-01 10:21:00,142.94421444656047,0.0,0.05,0.0
207,2024-01-01 10:24:00,138.9898466086906,0.0,0.05,0.0
208,2024-01-01 10:27:00,136.09693559224831,0.0,0.05,0.0
209,2024-01-01 10:30:00,134.2331604460233,0.0,0.05,0.0
210,2024-01-01 10:33:00,132.9645201379535,0.0,0.05,0.0
211,2024-01-01 10:36:00,131.76675853725033,0.0,0.05,0.0
212,2024-01-01 10:39:00,130.11438149854933,0.0,0.05,0.0
213,2024-01-01 10:42:00,127.52682385843084,0.0,0.05,0.0
214,2024-01-01 10:45:00,123.8001069488677,19.666666666666668,0.05,0.0
215,2024-01-01 10:48:00,119.19757781155684,0.0,0.05,1.0
216,2024-01-01 10:51:00,114.20976351779962,0.0,0.05,0.0
217,2024-01-01 10:54:00,109.34778882340578,0.0,0.05,0.0
218,2024-01-01 10:57:00,105.00100798833424,0.0,0.05,0.0
219,2024-01-01 11:00:00,101.43651841040051,0.0,0.05,0.0
220,2024-01-01 11:03:00,98.77840463591772,0.0,0.05,0.0
221,2024-01-01 11:06:00,97.08554020787807,0.0,0.05,0.0
222,2024-01-01 11:09:00,96.34825553855663,0.0,0.05,0.0
223,2024-01-01 11:12:00,96.4978196755795,0.0,0.05,0.0
224,2024-01-01 11:15:00,97.4967919995531,0.0,0.05,0.0
225,2024-01-01 11:18:00,99.40600812116864,0.0,0.05,0.0
226,2024-01-01 11:21:00,102.29489130140124,0.0,0.05,0.0
227,2024-01-01 11:24:00,106.23467982884415,0.0,0.05,0.0
228,2024-01-01 11:27:00,111.2633226997649,0.0,0.05,0.0
229,2024-01-01 11:30:00,117.1142585408248,0.0,0.05,0.0
230,2024-01-01 11:33:00,123.05088973877483,0.0,0.05,0.0
231,2024-01-01 11:36:00,128.26531280397694,0.0,0.05,0.0
232,2024-01-01 11:39:00,131.98744191146048,0.0,0.05,0.0
233,2024-01-01 11:42:00,133.5535389405152,0.0,0.05,0.0
234,2024-01-01 11:45:00,132.77613766542157,0.0,0.05,0.0
235,2024-01-01 11:48:00,130.16376097045614,0.0,0.05,0.0
236,2024-01-01 11:51:00,126.38751744585122,0.0,0.05,0.0
237,2024-01-01 11:54:00,122.12580942641097,0.0,0.05,0.0
238,2024-01-01 11:57:00,118.01340929563862,0.0,0.05,0.0
239,2024-01-01 12:00:00,114.40163882480695,0.0,0.05,0.0
240,2024-01-01 12:03:00,111.21410532463284,0.0,0.05,0.0
241,2024-01-01 12:06:00,108.27732895792545,0.0,0.05,0.0
242,2024-01-01 12:09:00,105.41462089104637,0.0,0.05,0.0
243,2024-01-01 12:12:00,102.44541853128004,0.0,0.05,0.0
244,2024-01-01 12:15:00,99.18487122191937,0.0,0.05,0.0
245,2024-01-01 12:18:00,95.44361884474046,0.0,0.05,0.0
246,2024-01-01 12:21:00,91.02772025057925,0.0,0.05,0.0
247,2024-01-01 12:24:00,85.73869930754954,0.0,0.05,0.0
248,2024-01-01 12:27:00,80.37762605486876,0.0,0.05,0.0
249,2024-01-01 12:30:00,76.03490684657018,0.0,0.05,0.0
250,2024-01-01 12:33:00,71.20057727705534,0.0,0.05,0.0
251,2024-01-01 12:36:00,66.02561974575696,0.0,0.05,0.0
252,2024-01-01 12:39:00,60.65777533232472,0.0,0.0,0.0
253,2024-01-01 12:42:00,55.241935291719216,0.0,0.0,0.0
254,2024-01-01 12:45:00,49.9212183496854,0.0,0.0,0.0
255,2024-01-01 12:48:00,44.841096816085205,0.0,0.0,0.0
256,2024-01-01 12:51:00,40.737237042586216,0.0,0.0,0.0
257,2024-01-01 12:54:00,39.0,0.0,0.0,0.0
258,2024-01-01 12:57:00,39.0,0.0,0.0,0.0
259,2024-01-01 13:00:00,39.0,0.0,0.0,0.0
260,2024-01-01 13:03:00,39.0,0.0,0.0,0.0
261,2024-01-01 13:06:00,39.0,0.0,0.0,0.0
262,2024-01-01 13:09:00,39.0,0.0,0.0,0.0
263,2024-01-01 13:12:00,39.0,0.0,0.0,0.0
264,2024-01-01 13:15:00,39.0,0.0,0.0,0.0
265,2024-01-01 13:18:00,39.0,0.0,0.0,0.0
266,2024-01-01 13:21:00,39.0,0.0,0.0,0.0
267,2024-01-01 13:24:00,39.0,0.0,0.0,0.0
268,2024-01-01 13:27:00,39.0,0.0,0.0,0.0
269,2024-01-01 13:30:00,39.0,0.0,0.0,0.0
270,2024-01-01 13:33:00,39.0,0.0,0.0,0.0
271,2024-01-01 13:36:00,39.0,0.0,0.0,0.0
272,2024-01-01 13:39:00,39.0,0.0,0.0,0.0
273,2024-01-01 13:42:00,39.0,0.0,0.0,0.0
274,2024-01-01 13:45:00,39.0,0.0,0.0,0.0
275,2024-01-01 13:48:00,39.0,0.0,0.0,0.0
276,2024-01-01 13:51:00,39.0,0.0,0.0,0.0
277,2024-01-01 13:54:00,39.0,0.0,0.0,0.0
278,2024-01-01 13:57:00,39.0,0.0,0.0,0.0
279,2024-01-01 14:00:00,39.0,0.0,0.0,0.0
280,2024-01-01 14:03:00,39.0,0.0,0.0,0.0
281,2024-01-01 14:06:00,39.040276475986715,0.0,0.0,0.0
282,2024-01-01 14:09:00,39.18026535168173,0.0,0.0,0.0
283,2024-01-01 14:12:00,39.199424799416605,0.0,0.0,0.0
284,2024-01-01 14:15:00,39.0,0.0,0.0,0.0
285,2024-01-01 14:18:00,39.0,0.0,0.0,0.0
286,2024-01-01 14:21:00,39.0,0.0,0.0,0.0
287,2024-01-01 14:24:00,39.0,0.0,0.0,0.0
288,2024-01-01 14:27:00,39.0,0.0,0.0,0.0
289,2024-01-01 14:30:00,39.0,0.0,0.0,0.0
290,2024-01-01 14:33:00,39.0,0.0,0.0,0.0
291,2024-01-01 14:36:00,39.0,4.333333333333333,0.0,0.0
292,2024-01-01 14:39:00,39.0,0.0,0.0,1.0
293,2024-01-01 14:42:00,39.0,0.0,0.0,0.0
294,2024-01-01 14:45:00,39.0,0.0,0.0,0.0
295,2024-01-01 14:48:00,39.0,0.0,0.0,0.0
296,2024-01-01 14:51:00,39.0,0.0,0.0,0.0
297,2024-01-01 14:54:00,39.0,0.0,0.0,0.0
298,2024-01-01 14:57:00,39.0,0.0,0.0,0.0
299,2024-01-01 15:00:00,39.0,0.0,0.0,0.0
300,2024-01-01 15:03:00,39.0,0.0,0.0,0.0
301,2024-01-01 15:06:00,39.0,0.0,0.0,0.0
302,2024-01-01 15:09:00,39.0,0.0,0.0,0.0
303,2024-01-01 15:12:00,39.0,0.0,0.0,0.0
304,2024-01-01 15:15:00,39.0,0.0,0.0,0.0
305,2024-01-01 15:18:00,39.0,0.0,0.0,0.0
306,2024-01-01 15:21:00,39.0,0.0,0.0,0.0
307,2024-01-01 15:24:00,39.0,0.0,0.0,0.0
308,2024-01-01 15:27:00,39.0,0.0,0.0,0.0
309,2024-01-01 15:30:00,39.0,0.0,0.0,0.0
310,2024-01-01 15:33:00,39.0,0.0,0.0,0.0
311,2024-01-01 15:36:00,39.0,0.0,0.0,0.0
312,2024-01-01 15:39:00,39.0,0.0,0.0,0.0
313,2024-01-01 15:42:00,39.0,0.0,0.0,0.0
314,2024-01-01 15:45:00,39.0,0.0,0.0,0.0
315,2024-01-01 15:48:00,39.0,0.0,0.0,0.0
316,2024-01-01 15:51:00,39.0,0.0,0.0,0.0
317,2024-01-01 15:54:00,39.0,0.0,0.0,0.0
318,2024-01-01 15:57:00,39.0,0.0,0.0,0.0
319,2024-01-01 16:00:00,39.0,0.0,0.0,0.0
320,2024-01-01 16:03:00,39.0,0.0,0.0,0.0
321,2024-01-01 16:06:00,39.0,0.0,0.0,0.0
322,2024-01-01 16:09:00,39.0,0.0,0.0,0.0
323,2024-01-01 16:12:00,39.0,0.0,0.0,0.0
324,2024-01-01 16:15:00,39.0,0.0,0.0,0.0
